Classifier,Latitude,Longitude,Z_value
5,31.61358732,253.7528172,168.5073171
5,31.71468744,253.6523421,161.899187
5,31.67688673,253.6899091,36.34471544
5,31.59278575,253.7734902,512.1300812
5,31.64892763,253.7176954,148.6829268
5,31.65630883,253.7103598,237.8926829
5,31.5619189,253.8041663,214.7642277
5,31.60374572,253.762598,132.1626016
5,31.55722177,253.8088344,142.0747967
5,31.68583365,253.6810175,145.3788618
5,31.59144371,253.774824,403.095935
5,31.59681186,253.769489,303.9739837
5,31.64959865,253.7170285,221.3723577
5,31.71692417,253.6501192,158.595122
5,31.70708257,253.6599,49.5609756
5,31.67576837,253.6910206,267.6292683
5,31.56169522,253.8043886,244.500813
5,31.71155602,253.6554542,227.9804878
5,31.70484584,253.6621229,92.51382113
5,31.65362476,253.7130273,23.12845529
5,31.70752991,253.6594554,185.0276423
5,31.66391371,253.702802,6.608130081
5,31.59837757,253.767933,151.9869919
5,31.56862908,253.7974976,151.9869919
5,31.57131315,253.7948301,9.912195121
5,31.70484584,253.6621229,9.912195121
5,31.57444457,253.791718,49.5609756
5,31.53776223,253.8281736,161.899187
5,31.61940281,253.7470377,353.5349594
5,31.65116436,253.7154725,69.38536585
5,31.5668397,253.7992759,386.5756098
5,31.63215217,253.7343672,33.0406504
5,31.62700769,253.7394798,247.8048781
5,31.66257167,253.7041357,135.4666667
5,31.5634846,253.8026102,109.0341463
5,31.64199377,253.7245864,363.4471544
5,31.65563781,253.7110267,280.8455285
5,31.58294414,253.783271,413.00813
5,31.59166738,253.7746017,472.4813007
5,31.60687714,253.759486,498.9138213
5,31.57019479,253.7959415,69.38536585
5,31.54178834,253.8241724,62.77723577
5,31.53373612,253.8321748,33.0406504
5,31.62320525,253.7432588,327.1024391
5,31.69589893,253.6710145,56.16910569
5,31.57601028,253.790162,257.7170732
5,31.57690498,253.7892728,356.8390243
5,31.61202161,253.7543733,128.8585366
5,31.6129163,253.7534841,393.1837399
5,31.5816021,253.7846047,303.9739837
5,31.66905819,253.6976893,42.95284552
5,31.56818173,253.7979421,436.1365854
5,31.53530183,253.8306188,49.5609756
5,31.72520007,253.6418945,9.912195121
5,31.63729664,253.7292545,208.1560976
5,31.60956121,253.7568185,241.196748
5,31.68851772,253.6783501,23.12845529
5,31.64154643,253.725031,247.8048781
5,31.56952377,253.7966084,168.5073171
5,31.67487368,253.6919098,19.82439024
5,31.62163954,253.7448148,33.0406504
5,31.63707297,253.7294768,168.5073171
5,31.63774399,253.7288099,360.1430895
5,31.55006423,253.8159476,42.95284552
5,31.69254383,253.6743488,36.34471544
5,31.55028791,253.8157254,151.9869919
5,31.67957081,253.6872417,227.9804878
5,31.64109908,253.7254756,29.73658537
5,31.59010167,253.7761577,346.9268292
5,31.59390411,253.7723788,442.7447155
